Start date; Duration; Assigned task;Category;Type
2/4/21 14:33;60;Data Warehouse;Programming;Levelling
2/4/21 18:40;60;Data Warehouse;Programming;Levelling
3/4/21 12:34;60;Data Warehouse;Programming;Levelling
3/4/21 14:38;60;Data Warehouse;Programming;Levelling
3/4/21 16:03;60;Data Warehouse;Programming;Levelling
3/4/21 18:40;60;Data Warehouse;Programming;Levelling
3/4/21 19:56;60;Data Warehouse;Programming;Levelling
4/4/21 16:17;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
4/4/21 17:49;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
4/4/21 20:33;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
5/4/21 0:36;60;Data Warehouse;Programming;Levelling
5/4/21 12:23;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
5/4/21 14:31;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
7/4/21 21:17;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
7/4/21 22:17;60;Data Warehouse;Programming;Levelling
8/4/21 16:46;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
9/4/21 9:47;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
10/4/21 11:28;60;Data Warehouse;Programming;Levelling
10/4/21 13:22;60;Data Warehouse;Programming;Levelling
10/4/21 16:23;60;Data Warehouse;Programming;Levelling
10/4/21 17:31;60;Data Warehouse;Programming;Levelling
10/4/21 19:21;60;Data Warehouse;Programming;Levelling
10/4/21 21:01;60;Data Warehouse;Programming;Levelling
10/4/21 23:05;60;Data Warehouse;Programming;Levelling
11/4/21 0:05;60;Data Warehouse;Programming;Levelling
11/4/21 1:11;60;Data Warehouse;Programming;Levelling
11/4/21 10:47;60;Data Warehouse;Programming;Levelling
11/4/21 12:25;60;Data Warehouse;Programming;Levelling
11/4/21 13:51;60;Data Warehouse;Programming;Levelling
11/4/21 15:17;60;Data Warehouse;Programming;Levelling
11/4/21 17:46;60;Data Warehouse;Programming;Levelling
11/4/21 19:09;60;Data Warehouse;Programming;Levelling
16/4/21 12:47;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
16/4/21 14:05;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
16/4/21 15:29;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
16/4/21 19:13;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
16/4/21 21:08;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
16/4/21 22:08;60;Fundamentos de redes y arquitecturas;Miscellany;Levelling
18/4/21 13:03;60;Fundamentos de programación con Python;Programming;Levelling
18/4/21 14:42;60;Fundamentos de programación con Python;Programming;Levelling
19/4/21 18:44;60;Fundamentos de programación con Python;Programming;Levelling
