"Country or Area";"Year";"Item";"Value"
"Afghanistan";"2020";"Gross Domestic Product (GDP)";"508.453721937094"
"Afghanistan";"2019";"Gross Domestic Product (GDP)";"496.940552822825"
"Albania";"2020";"Gross Domestic Product (GDP)";"5180.91419760391"
"Albania";"2019";"Gross Domestic Product (GDP)";"5345.60251306761"
"Algeria";"2020";"Gross Domestic Product (GDP)";"3367.96300289719"
"Algeria";"2019";"Gross Domestic Product (GDP)";"3975.51900232892"
"Andorra";"2020";"Gross Domestic Product (GDP)";"37072.4053843701"
"Andorra";"2019";"Gross Domestic Product (GDP)";"40900.5385901528"
"Angola";"2020";"Gross Domestic Product (GDP)";"1895.77070283724"
"Angola";"2019";"Gross Domestic Product (GDP)";"2809.62640316258"
"Anguilla";"2020";"Gross Domestic Product (GDP)";"17225.9375285437"
"Anguilla";"2019";"Gross Domestic Product (GDP)";"25336.5814533344"
"Antigua and Barbuda";"2020";"Gross Domestic Product (GDP)";"13993.3201794346"
"Antigua and Barbuda";"2019";"Gross Domestic Product (GDP)";"17376.1129073224"
"Argentina";"2020";"Gross Domestic Product (GDP)";"8475.72958198985"
"Argentina";"2019";"Gross Domestic Product (GDP)";"9947.26485613702"
"Armenia";"2020";"Gross Domestic Product (GDP)";"4266.00547864783"
"Armenia";"2019";"Gross Domestic Product (GDP)";"4604.64137739813"
"Aruba";"2020";"Gross Domestic Product (GDP)";"23385.6386707755"
"Aruba";"2019";"Gross Domestic Product (GDP)";"31136.1109543428"
"Australia";"2020";"Gross Domestic Product (GDP)";"55822.7128453068"
"Australia";"2019";"Gross Domestic Product (GDP)";"54763.2023879958"
"Austria";"2020";"Gross Domestic Product (GDP)";"48105.6319825656"
"Austria";"2019";"Gross Domestic Product (GDP)";"49693.6687828313"
"Azerbaijan";"2020";"Gross Domestic Product (GDP)";"4202.23223942024"
"Azerbaijan";"2019";"Gross Domestic Product (GDP)";"4794.54491996269"
"Bahamas";"2020";"Gross Domestic Product (GDP)";"25194.289197038"
"Bahamas";"2019";"Gross Domestic Product (GDP)";"33799.8396408563"
"Bahrain";"2020";"Gross Domestic Product (GDP)";"19925.0015989567"
"Bahrain";"2019";"Gross Domestic Product (GDP)";"23442.8308540508"
"Bangladesh";"2020";"Gross Domestic Product (GDP)";"2000.64015719419"
"Bangladesh";"2019";"Gross Domestic Product (GDP)";"1846.41637656056"
"Barbados";"2020";"Gross Domestic Product (GDP)";"15449.2370021749"
"Barbados";"2019";"Gross Domestic Product (GDP)";"18458.1482449264"
"Belarus";"2020";"Gross Domestic Product (GDP)";"6377.05543170986"
"Belarus";"2019";"Gross Domestic Product (GDP)";"6814.15243926858"
"Belgium";"2020";"Gross Domestic Product (GDP)";"45028.3234050509"
"Belgium";"2019";"Gross Domestic Product (GDP)";"46388.2052091768"
"Belize";"2020";"Gross Domestic Product (GDP)";"3987.72639376503"
"Belize";"2019";"Gross Domestic Product (GDP)";"4983.31058170425"
"Benin";"2020";"Gross Domestic Product (GDP)";"1254.21258947608"
"Benin";"2019";"Gross Domestic Product (GDP)";"1219.51547854222"
